0,1776981325.369606,79.574357,0.006014,-3.095897,-3.339791,0.006731,-2.798819,-2.991938
3,1776981325.369606,79.574357,22.259758,-41.052997,5.135148,22.388191,-40.550154,5.132737
2,1776981325.369606,79.574357,-43.668053,131.021161,-49.647411,-43.716495,40.376305,-49.690496
0,1776981325.389841,79.594591,0.015995,-2.634437,-3.262552,0.016712,-2.337359,-2.914699
3,1776981325.389841,79.594591,22.254660,-41.126995,5.176447,22.383092,-40.624153,5.174037
2,1776981325.389841,79.594591,-44.515444,130.582411,-49.579623,-44.563886,39.937554,-49.622709
0,1776981325.410515,79.615266,0.027535,-2.575294,-3.727003,0.028252,-2.278216,-3.379151
3,1776981325.410515,79.615266,22.307704,-41.253862,5.224965,22.436136,-40.751020,5.222555
2,1776981325.410515,79.615266,-42.807351,130.648161,-48.834975,-42.855794,40.003304,-48.878060
0,1776981325.433947,79.638697,0.011525,-2.767515,-3.214206,0.012242,-2.470437,-2.866353
3,1776981325.433947,79.638697,22.104131,-41.809023,5.552341,22.232563,-41.306180,5.549931
2,1776981325.433947,79.638697,-42.916063,130.961351,-49.250513,-42.964505,40.316495,-49.293598
0,1776981325.453937,79.658688,0.015365,-3.017385,-3.605195,0.016082,-2.720307,-3.257342
3,1776981325.453937,79.658688,22.116012,-41.211769,5.271056,22.244444,-40.708927,5.268646
2,1776981325.453937,79.658688,-42.848059,130.928210,-49.167173,-42.896501,40.283354,-49.210259
0,1776981325.474153,79.678904,0.002454,-3.006098,-3.144359,0.003172,-2.709019,-2.796506
3,1776981325.474153,79.678904,21.599345,-40.823195,5.256762,21.727777,-40.320353,5.254352
2,1776981325.474153,79.678904,-43.614515,130.559489,-49.125934,-43.662957,39.914632,-49.169019
0,1776981325.495665,79.700416,0.018323,-2.796331,-3.589576,0.019040,-2.499253,-3.241723
3,1776981325.495665,79.700416,22.277124,-41.342710,5.275978,22.405557,-40.839867,5.273568
2,1776981325.495665,79.700416,-43.064335,130.696276,-49.009720,-43.112777,40.051420,-49.052805
0,1776981325.517287,79.722038,0.002687,-2.926422,-3.149296,0.003404,-2.629344,-2.801443
3,1776981325.517287,79.722038,22.435928,-41.363269,5.238280,22.564361,-40.860426,5.235870
2,1776981325.517287,79.722038,-44.032024,131.297198,-50.175920,-44.080466,40.652341,-50.219005
0,1776981325.536794,79.741545,0.018325,-2.448998,-3.212373,0.019043,-2.151919,-2.864521
3,1776981325.536794,79.741545,22.065113,-41.296444,5.333374,22.193545,-40.793601,5.330964
2,1776981325.536794,79.741545,-43.563389,130.451185,-49.004858,-43.611831,39.806329,-49.047944
0,1776981325.556910,79.761661,0.005749,-2.913873,-3.199092,0.006466,-2.616795,-2.851240
3,1776981325.556910,79.761661,22.408447,-41.082550,5.118444,22.536880,-40.579708,5.116033
2,1776981325.556910,79.761661,-44.423028,131.133163,-50.183282,-44.471470,40.488306,-50.226367
0,1776981325.576873,79.781624,0.001738,-2.648161,-2.823627,0.002455,-2.351083,-2.475775
3,1776981325.576873,79.781624,22.210023,-41.271058,5.269742,22.338455,-40.768215,5.267331
2,1776981325.576873,79.781624,-44.424366,130.646350,-49.641438,-44.472808,40.001494,-49.684524
0,1776981325.600075,79.804827,0.007714,-2.857937,-3.252911,0.008432,-2.560859,-2.905058
3,1776981325.600075,79.804827,22.541099,-41.233237,5.143193,22.669531,-40.730395,5.140783
2,1776981325.600075,79.804827,-44.027798,131.235685,-50.105942,-44.076240,40.590828,-50.149027
0,1776981325.620143,79.824894,0.027531,-2.523758,-3.634787,0.028249,-2.226680,-3.286934
3,1776981325.620143,79.824894,22.391549,-41.286556,5.216524,22.519982,-40.783714,5.214114
2,1776981325.620143,79.824894,-42.970453,130.495933,-48.753701,-43.018895,39.851076,-48.796786
0,1776981325.640199,79.844950,0.009647,-2.861928,-3.323074,0.010365,-2.564850,-2.975221
3,1776981325.640199,79.844950,21.769094,-41.725897,5.629268,21.897526,-41.223054,5.626858
2,1776981325.640199,79.844950,-43.345264,131.217473,-49.756848,-43.393706,40.572616,-49.799934
0,1776981325.660563,79.865314,0.006190,-2.594344,-2.942521,0.006908,-2.297266,-2.594668
3,1776981325.660563,79.865314,22.313059,-41.185948,5.202582,22.441491,-40.683105,5.200172
2,1776981325.660563,79.865314,-44.286192,130.615381,-49.550495,-44.334634,39.970524,-49.593581
0,1776981325.680477,79.885228,0.007812,-2.814999,-3.333934,0.008529,-2.517921,-2.986081
3,1776981325.680477,79.885228,22.807826,-40.723038,4.821320,22.936259,-40.220195,4.818910
2,1776981325.680477,79.885228,-44.387308,130.742807,-49.745232,-44.435750,40.097950,-49.788317
0,1776981325.700448,79.905199,0.002087,-3.226911,-3.525975,0.002804,-2.929833,-3.178123
3,1776981325.700448,79.905199,22.320934,-41.190395,5.197810,22.449366,-40.687552,5.195399
2,1776981325.700448,79.905199,-43.327429,131.186659,-49.719413,-43.375871,40.541802,-49.762498
0,1776981325.720618,79.925369,0.003112,-2.918071,-3.169998,0.003829,-2.620993,-2.822146
3,1776981325.720618,79.925369,22.282212,-41.216107,5.218455,22.410644,-40.713264,5.216045
2,1776981325.720618,79.925369,-43.963182,130.511120,-49.266013,-44.011624,39.866263,-49.309098
0,1776981325.740671,79.945422,0.016419,-2.809300,-3.612272,0.017136,-2.512222,-3.264419
3,1776981325.740671,79.945422,22.026578,-41.139828,5.267854,22.155010,-40.636985,5.265444
2,1776981325.740671,79.945422,-42.796233,130.737998,-48.945062,-42.844675,40.093141,-48.988148
0,1776981325.760815,79.965566,0.002953,-2.867193,-3.154778,0.003670,-2.570115,-2.806926
3,1776981325.760815,79.965566,22.803009,-41.483873,5.172247,22.931441,-40.981030,5.169836
2,1776981325.760815,79.965566,-44.356510,131.115200,-50.137155,-44.404952,40.470343,-50.180241
0,1776981325.781144,79.985894,0.010310,-2.422802,-3.026936,0.011027,-2.125724,-2.679083
3,1776981325.781144,79.985894,22.281667,-41.197113,5.210906,22.410099,-40.694271,5.208496
2,1776981325.781144,79.985894,-44.242738,130.294867,-49.169556,-44.291180,39.650010,-49.212642
0,1776981325.801096,80.005846,0.009488,-2.773086,-3.343124,0.010205,-2.476008,-2.995272
3,1776981325.801096,80.005846,21.482525,-41.456317,5.599491,21.610957,-40.953474,5.597081
2,1776981325.801096,80.005846,-43.074883,130.859664,-49.233683,-43.123325,40.214807,-49.276768
0,1776981325.821101,80.025852,-0.001809,-2.993346,-2.957311,-0.001092,-2.696268,-2.609459
3,1776981325.821101,80.025852,22.117816,-41.082293,5.220635,22.246249,-40.579451,5.218224
